status	ok
engine_version	thammen-sprint2p22p0a1-qars-envelope-fallback
tier_label	analytical_range
refusal_reason.trigger_id	comp_density_sparse
refusal_reason.message_ar	هذه المنطقة فيها أقل من 5 صفقات بيع مقارنة خلال آخر 6 أشهر لعقارات بهذا الحجم والنوع. التقدير الآلي لا يصل إلى مستوى الموثوقية المطلوب.
refusal_reason.message_en	This district has fewer than 5 comparable transactions in the past 6 months for properties of this size and type. An automated estimate cannot reach reliable confidence.
refusal_reason.recommendation_ar	نوصي بتقييم متخصص لعقارك من خلال مُقيِّم معتمد.
refusal_reason.context.asset_type	apartment_building
refusal_reason.context.district_ar	لوسيل 69
methodology_ar	منهجية هجينة (Hybrid v1) — وسيط أسعار الإعلانات (T2) من PropertyFinder بعد خصم تفاوضي مرجعي ~12.5%. n=77 إعلان شقة للبيع في لوسيل (عينة strong_indicative).
methodology_disclaimer_ar	هذا التقدير من إعلانات بحجم عينة قوي (n≥20)، لكنه يبقى T2 — للوصول لـ "موثوق" يلزم تأكيد T1 (Confirmed Sales أو MME). Rule E3 §4 يثبّت السقف عند "إرشادي" بدون T1.
address	69/255/75
valuation_date	2026-05-27
district	لوسيل 69
asset_type	apartment_building
asset_type_ar	عمارة سكنية
audience	buyer
valuation.method	hybrid_t2
valuation.reason_ar	القيمة الإرشادية للمتر المربع لشقق عمارة سكنية في لوسيل ≈ 11,702 ر.ق/م² (نطاق ±20%: 9,362 – 14,043 ر.ق/م²). لقيمة شقة محددة، اضرب في مساحتها م² الفعلية.
reconciliation.status	hybrid_indicative
reconciliation.message_ar	تقدير من مصدر T2 واحد (PropertyFinder، n=77، عينة strong_indicative). وزارة العدل لا تسجّل الشقق الفردية (تُحفظ تحت الأبراج). لتقدير "موثوق" يلزم Confirmed Sales أو MME.
accuracy.label	🟢 إرشادي قوي — عينة كبيرة (T2 n≥20)
geometric_factors.pd_no	PD/4598/2019
material_uncertainty.level	low
material_uncertainty.banner_ar	تحفظ مادي: عينة قوية (n=77≥20) لكن السقف يبقى إرشادي بدون تأكيد وزارة العدل (Rule E3 §4). النطاق ±20%.
material_uncertainty.known_unknowns_ar[0]	مساحة الشقة المحددة
material_uncertainty.known_unknowns_ar[1]	الطابق + الإطلالة + التشطيب
material_uncertainty.known_unknowns_ar[2]	حالة الصيانة الفعلية
material_uncertainty.known_unknowns_ar[3]	مدى تطابق الإعلانات مع الصفقات المنجزة
material_uncertainty.muc_clause_ar	⚠️ تحفظ مادي وفق RICS Red Book Global Standards (effective 31 January 2025) — VPGA 10 (Material Valuation Uncertainty) و VPS 6 (Valuation Reports) — و IVS (effective 31 January 2025) — IVS 106 (Documentation and Reporting) \n  \n تواجه السوق العقاري القطري في تاريخ هذا التقدير (2026-02-28 وما بعده) اضطراباً جوهرياً نشطاً: تصحيح ما بعد المونديال، الحرب الإقليمية وإغلاق هرمز، نزوح سكاني، انهيار حجم المعاملات. \n  \n نطاق التحفّظ: يشمل القيمة التقديرية المُعلنة، النطاق المُعلَن (الأدنى/الأعلى)، ومدى انطباق منهجية المقارنة السوقية على ظروف السوق الحالية. \n  \n بناءً عليه — ووفق المعايير المذكورة أعلاه — يجب اعتبار درجة اليقين في هذا التقدير أقل من المعتاد، وتطبيق درجة حذر أعلى عند الاعتماد عليه. يُوصى بمراجعة هذا التقدير على فترات متقاربة.
